Date,Open,High,Low,Close,Adj Close,Volume
2023-01-31,2.274318,2.330913,2.259875,2.312074,2.312074,38263256
2023-02-01,2.311733,2.416669,2.278723,2.384670,2.384670,39464550
2023-02-02,2.384647,2.473404,2.350070,2.370755,2.370755,34891621
2023-02-03,2.371113,2.387805,2.336935,2.373774,2.373774,30943229
2023-02-04,2.373806,2.374286,2.324544,2.325387,2.325387,27438888
2023-02-05,2.325470,2.359149,2.278985,2.307039,2.307039,29649840
2023-02-06,2.307320,2.317841,2.263058,2.277426,2.277426,30206780
2023-02-07,2.277554,2.375170,2.271663,2.360434,2.360434,42022959
2023-02-08,2.360039,2.376517,2.263080,2.290915,2.290915,37633066
2023-02-09,2.291714,2.302109,2.200824,2.201553,2.201553,34735731
2023-02-10,2.201783,2.206655,2.041778,2.162040,2.162040,38157345
2023-02-11,2.162535,2.234801,2.151184,2.218817,2.218817,29336172
2023-02-12,2.219324,2.326967,2.218827,2.304596,2.304596,28051997
2023-02-13,2.304582,2.369762,2.213839,2.310893,2.310893,32971577
2023-02-14,2.310856,2.335549,2.267776,2.298614,2.298614,28322567
2023-02-15,2.298270,2.350219,2.267486,2.350219,2.350219,28201853
2023-02-16,2.349463,2.388509,2.290506,2.292304,2.292304,29843373
2023-02-17,2.291605,2.325587,2.291605,2.312229,2.312229,26220851
2023-02-18,2.312013,2.358068,2.308202,2.351893,2.351893,27655483
2023-02-19,2.351598,2.362795,2.328194,2.347443,2.347443,18579671
2023-02-20,2.348145,2.376111,2.319650,2.367036,2.367036,30248917
2023-02-21,2.366529,2.409542,2.337149,2.351206,2.351206,31589778
2023-02-22,2.351659,2.485148,2.317123,2.467538,2.467538,39782588
2023-02-23,2.467054,2.562014,2.420455,2.457575,2.457575,47340392
2023-02-24,2.457784,2.469357,2.348991,2.361492,2.361492,39962945
2023-02-25,2.361352,2.395357,2.344007,2.394011,2.394011,28280580
2023-02-26,2.394488,2.451989,2.381515,2.419414,2.419414,43120915
2023-02-27,2.418898,2.450793,2.406129,2.448095,2.448095,46412418
2023-02-28,2.447905,2.553069,2.441398,2.509403,2.509403,55238363
2023-03-01,2.509739,2.574213,2.460424,2.524323,2.524323,42639529
2023-03-02,2.524596,2.533007,2.415429,2.423976,2.423976,36176408
2023-03-03,2.424018,2.431948,2.350425,2.395873,2.395873,45713403
2023-03-04,2.394803,2.438951,2.351114,2.368432,2.368432,40619904
2023-03-05,2.368801,2.393167,2.325624,2.386676,2.386676,44483192
2023-03-06,2.386555,2.418360,2.366903,2.383741,2.383741,37454751
2023-03-07,2.384380,2.402253,2.277537,2.309606,2.309606,43057123
2023-03-08,2.309440,2.376307,2.234254,2.374469,2.374469,47061370
2023-03-09,2.373959,2.404819,2.274811,2.313561,2.313561,44737559
2023-03-10,2.314406,2.329115,2.228189,2.245573,2.245573,33730928
2023-03-11,2.245368,2.306941,2.229979,2.268448,2.268448,28511434
2023-03-12,2.268226,2.365664,2.233760,2.364884,2.364884,23229744
2023-03-13,2.365560,2.417584,2.346161,2.415242,2.415242,28557811
2023-03-14,2.415492,2.455039,2.402096,2.434372,2.434372,44697282
2023-03-15,2.434521,2.461808,2.389354,2.457812,2.457812,35726387
2023-03-16,2.456716,2.479486,2.417137,2.439018,2.439018,29009725
2023-03-17,2.439571,2.489494,2.420672,2.470223,2.470223,29407570
2023-03-18,2.470276,2.483918,2.418840,2.419780,2.419780,27355430
